Area,Average Contact Time (minutes)
Mira Mesa (Eng),96.00
Del Sur/Rancho Bernardo,98.00
Blck Mtn/RPQ,1316.50
SMSL/Scripps Ranch (Eng),198.67
Mt. Woodson YSA,37.00
