Area,Average Contact Time (minutes)
El Rey (Sp 3),41.50
Hillsdale (3) (Ar/Eng),26.25
Magnolia (2),731.50
El Rey (Sp 1),25.17
Magnolia (1),17.71
Lakeside,152.00
Alpine,15.25
