Area,Average Contact Time (minutes)
Monte Vista (Sp 2),215.80
Fairmount (1),201.00
Monte Vista (Sp 1),866.25
Fairmount/HC/MCRD (1),121.67
Fairmount (3),5.00
Del Cerro,614.00
CM YSA (2)/MCRD,3.00
Santee,4.00
SPL/Monte Vista (Sp 3),62.14
Fairmount/HC (3),2292.50
Grossmont,101.67
La Mesa,1.00
Fairmount/HC (2),62.50
CM YSA (1),968.00
