Area,Average Contact Time (minutes)
Colina del Sol (Sp 3),426.10
Pacific Beach,9.75
SD 1st (4),495.32
Clairemont,1068.83
La Jolla YSA (3),1424.00
Point Loma,445.29
Colina del Sol (Sp 1),35.50
Colina del Sol (Sp 2),121.40
SD 1st (2),86.43
La Jolla YSA (2),52.00
Colina del Sol (Sp 4),20.00
UC,384.50
SD 1st (1),211.44
SD 1st (3),19.00
