Area,Average Contact Time (minutes)
South Bay (Sp 2),1034.33
South Bay (Sp 1),583.83
Imperial Beach,535.57
CV 1st (2),302.17
B. Vista (Sp 1),172.60
CV 1st (1),873.44
Harbor (1),451.90
Sweetwater (2),1285.80
Harbor (2),50.25
B. Vista (Sp 3),693.50
B. Vista (Sp 2),40.67
South Bay (Sp 3),1086.50
Sweetwater (1),298.00
Otay Lakes (2),416.00
CV 3rd,39.00
SDB YSA/MCRD,188.00
