Area,Average Contact Time (minutes)
Imperial (2) (Sp),40.50
Imperial (1) (Sp),1155.60
El Centro,330.50
Brawley (1),412.00
Calexico (2) (Sp),138.00
Calexico (1) (Sp),59.00
Brawley (2),258.67
